,wave,INCOME_1,INCOME_2,INCOME_3,INCOME_4,INCOME_5,INCOME_6,INCOME_7,WP16,WP18,WP23,WP27,WP30,WP31,WP40,WP43,WP60,WP61,WP63,WP65,WP67,WP68,WP69,WP70,WP71,WP74,WP83,WP85,WP86,WP19472,WP88,WP89,WP91,WP92,WP93,WP94,WP95,WP96,WP97,WP98,WP10248,WP103,WP105,WP106,WP108,WP109,WP110,WP111,WP112,WP113,WP117,WP118,WP119,WP129,WP130,WP9050,WP131,WP132,WP134,WP137,WP138,WP139,WP141,WP144,WP10251,WP145,WP146,WP150,WP151,WP153,WP155,WP156,WP13125,WP1219,WP1220,WP1223,EMP_2010,WP1230,WP1233,WP2319,WP4657,WP9042,WP9048,WP17625,WP17626,WP16056,WP15862,WP19544,WP3117
2051059,14.1,36000.0,8966.233974530649,6000.0,1494.3723290884416,1.0,,3.0,7.0,98.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,,1.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,2.0,26.0,2.0,1.0,2.0,,6.0,1.0,,,2.0,1.0,1.0,1.0,1.0,2.0
2051060,14.1,120000.0,29887.44658176883,30000.0,7471.861645442207,4.0,,1.0,1.0,1.0,2.0,1.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,2.0,34.0,2.0,1.0,2.0,,2.0,1.0,,,2.0,1.0,1.0,1.0,1.0,3.0
2051061,14.1,216000.0,53797.403847183894,54000.0,13449.350961795973,5.0,,3.0,4.0,5.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,2.0,54.0,2.0,6.0,1.0,,2.0,1.0,,,2.0,1.0,2.0,,2.0,1.0
2051062,14.1,72000.0,17932.467949061298,14400.0,3586.4935898122594,2.0,,3.0,6.0,6.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,2.0,29.0,2.0,1.0,1.0,,2.0,1.0,,,2.0,1.0,1.0,1.0,1.0,3.0
2051063,14.1,9600.0,2390.9957265415064,2400.0,597.7489316353766,1.0,,3.0,4.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,,2.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,,,,,,,,,,,,,,,2.0,74.0,2.0,6.0,2.0,,3.0,1.0,,,1.0,1.0,1.0,1.0,1.0,2.0
2051064,14.1,60000.0,14943.723290884414,30000.0,7471.861645442207,4.0,,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,36.0,2.0,2.0,0.0,,1.0,1.0,,,2.0,1.0,1.0,1.0,1.0,2.0
2051065,14.1,0.0,0.0,0.0,0.0,1.0,,3.0,5.0,7.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,,3.0,2.0,1.0,3.0,3.0,3.0,1.0,2.0,1.0,2.0,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,2.0,45.0,2.0,5.0,0.0,,2.0,1.0,,,2.0,1.0,1.0,1.0,1.0,3.0
2051066,14.1,69600.0,17334.71901742592,23200.0,5778.239672475306,3.0,,1.0,6.0,6.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,69.0,5.0,6.0,98.0,,2.0,1.0,,,1.0,1.0,1.0,1.0,1.0,2.0
2051067,14.1,240000.0,59774.89316353766,120000.0,29887.44658176883,5.0,,3.0,5.0,6.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,2.0,68.0,2.0,6.0,0.0,,2.0,1.0,,,2.0,1.0,1.0,2.0,1.0,2.0
2051068,14.1,84000.0,20921.21260723818,21000.0,5230.303151809545,3.0,,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,69.0,2.0,6.0,99.0,,2.0,1.0,,,1.0,2.0,2.0,,,1.0
